會	kuài	kwajH	kwàȷ	 calculate; calculation	67586
族	zú	dzuwk	dzuwk	 clan	67601
由	yóu	yuw	yūw	 follow; from	67615
與/予	yǔ	yoX yoX	yó yó	 give; for; and / give; for; and	68510
與	yǔ	yoX yoX	yó yó	 give; for; and / give; for; and	68510
與	yù	yoH	yò	 participate in	68510
月	yuè	ngjwot	ngȷwot	 moon, month	69949
冬	dōng	towng	tōwng	 winter	71377
北	běi	pok	pok	 north	71508
湯	Tāng	thang	thāng	 hot liquid	71516
兄	xiōng	xjwaeng	xȷwāeng	 elder brother	71521
弟	dì	dejX	déȷ	 younger brother	71523
弟子	dìzǐ	dejX tsiX	déȷ tsı́	 younger brother / 1st earthly branch	71523
臣	chén	dzyin	dz̯ı̄n	 slave, subject	71531
大夫	dàfū	daH daH pju pju	dà dà pȷū pȷū	 big / big / man / man	71536
夫	fú	bju	bȷū	 this, that	71536
夫	fú	bju	bȷū	 this, that	71536
夫	fū	pju pju	pȷū pȷū	 man / man	71536
夫人	fūrén	pju pju nyin	pȷū pȷū n̯ı̄n	 man / man / (other) person	71536
夫子	fūzǐ	pju pju tsiX	pȷū pȷū tsı́	 man / man / 1st earthly branch	71536
婦	fù	bjuwX	bȷúw	 woman, wife	71537
婦人	fùrén	bjuwX nyin	bȷúw n̯ı̄n	 woman, wife / (other) person	71537
長	cháng	drjang	ḍȷāng	 long (adj.)	71541
長	zhǎng	trjangX trjangX	ṭȷáng ṭȷáng	 grow; elder / grow; elder	71541
長	zhǎng	trjangX trjangX	ṭȷáng ṭȷáng	 grow; elder / grow; elder	71541
男	nán	nom	nōm	 man, male	72115
倫	lún	lwin	lwı̄n	 relationship; order; category	72491
土	tǔ	thuX	thú	 earth	73403
酒	jiǔ	tsjuwX	tsȷúw	 wine	74034
肉	ròu	nyuwk	n̯uwk	 meat, flesh	74035
川	chuān	tsyhwen	ts̯hwēn	 stream, river	74302
彼	bǐ	pjeX	pȷé	 that	76603
命	mìng	mjaengH	mȷàeng	 command (n.)	77169
仁	rén	nyin	n̯ı̄n	 kind	77188
汝/女	ru	nyoX	n̯ó		77297
金	jīn	kim	kı̄m	 metal, bronze	79004
林	lín	lim	lı̄m	 forest	79047
堂	táng	dang	dāng	 hall	79067
玉	yù	ngjowk	ngȷowk	 jade	79624
若	ruò	nyak	n̯ak	 you	81559
